fold,held_out,scenario,model,seed,n_test_windows,test_censored_share,wis_mean,wis_median,fit_seconds,utc
loto_hot,HOT_T01,S1_fixed_50pct,B4,123,12046,0.2920471429824829,0.13473007082939148,0.060832519084215164,90.2,2026-08-05T04:50:28.246157+00:00
loto_hot,HOT_T01,S1_fixed_50pct,B6,42,12046,0.2920471429824829,0.0674276053905487,0.053513288497924805,73.9,2026-08-05T04:51:42.342607+00:00
loto_hot,HOT_T01,S1_fixed_50pct,B6,123,12046,0.2920471429824829,0.06738357245922089,0.052849844098091125,86.1,2026-08-05T04:53:08.610010+00:00
loto_hot,HOT_T01,S1_fixed_50pct,CLQR,42,12046,0.2920471429824829,0.08244555443525314,0.05091171711683273,71.5,2026-08-05T04:54:20.344508+00:00
loto_hot,HOT_T01,S1_fixed_50pct,CLQR,123,12046,0.2920471429824829,0.08140233159065247,0.05047159269452095,44.7,2026-08-05T04:55:05.210885+00:00
loto_hot,HOT_T01,S4_random_uniform,B0_persistence,fixed,12046,0.25062260031700134,0.155537151197312,0.10433132946491241,0.0,2026-08-05T04:55:07.067871+00:00
loto_hot,HOT_T01,S4_random_uniform,B4,42,12046,0.25062260031700134,0.11051499098539352,0.058291465044021606,92.5,2026-08-05T04:56:39.716856+00:00
loto_hot,HOT_T01,S4_random_uniform,B4,123,12046,0.25062260031700134,0.10792171210050583,0.058077309280633926,92.2,2026-08-05T04:58:12.139767+00:00
loto_hot,HOT_T01,S4_random_uniform,B6,42,12046,0.25062260031700134,0.067406065762043,0.05266587436199188,80.6,2026-08-05T04:59:32.897589+00:00
loto_hot,HOT_T01,S4_random_uniform,B6,123,12046,0.25062260031700134,0.06793031841516495,0.05281561613082886,33.4,2026-08-05T05:00:06.486011+00:00
loto_hot,HOT_T01,S4_random_uniform,CLQR,42,12046,0.25062260031700134,0.07667610794305801,0.050161682069301605,32.0,2026-08-05T05:00:38.611281+00:00
loto_hot,HOT_T01,S4_random_uniform,CLQR,123,12046,0.25062260031700134,0.07716123759746552,0.05111562833189964,30.9,2026-08-05T05:01:09.591506+00:00
loto_hot,HOT_T02,S1_fixed_50pct,B0_persistence,fixed,10861,0.2607494592666626,0.158042023911758,0.10173913091421127,0.0,2026-08-05T05:01:11.186031+00:00
loto_hot,HOT_T02,S1_fixed_50pct,B4,42,10861,0.2607494592666626,0.12002518028020859,0.057419486343860626,80.5,2026-08-05T05:02:31.837485+00:00
loto_hot,HOT_T02,S1_fixed_50pct,B4,123,10861,0.2607494592666626,0.11887238919734955,0.05676810443401337,92.2,2026-08-05T05:04:04.206596+00:00
loto_hot,HOT_T02,S1_fixed_50pct,B6,42,10861,0.2607494592666626,0.06953257322311401,0.050937194377183914,74.1,2026-08-05T05:05:18.476737+00:00
loto_hot,HOT_T02,S1_fixed_50pct,B6,123,10861,0.2607494592666626,0.0702747330069542,0.05160386115312576,80.2,2026-08-05T05:06:38.804131+00:00
loto_hot,HOT_T02,S1_fixed_50pct,CLQR,42,10861,0.2607494592666626,0.07716450095176697,0.04842209443449974,37.6,2026-08-05T05:07:16.525129+00:00
loto_hot,HOT_T02,S1_fixed_50pct,CLQR,123,10861,0.2607494592666626,0.07680380344390869,0.04775511473417282,49.6,2026-08-05T05:08:06.206259+00:00
loto_hot,HOT_T02,S4_random_uniform,B0_persistence,fixed,10861,0.21517355740070343,0.14781467765555967,0.09884059429168701,0.0,2026-08-05T05:08:07.967334+00:00
loto_hot,HOT_T02,S4_random_uniform,B4,42,10861,0.21517355740070343,0.10011880844831467,0.05603059008717537,68.1,2026-08-05T05:09:16.212748+00:00
loto_hot,HOT_T02,S4_random_uniform,B4,123,10861,0.21517355740070343,0.09936743974685669,0.054838165640830994,78.9,2026-08-05T05:10:35.266051+00:00
loto_hot,HOT_T02,S4_random_uniform,B6,42,10861,0.21517355740070343,0.0696386992931366,0.051790669560432434,65.4,2026-08-05T05:11:40.844723+00:00
loto_hot,HOT_T02,S4_random_uniform,B6,123,10861,0.21517355740070343,0.06991757452487946,0.05150725319981575,70.6,2026-08-05T05:12:51.546728+00:00
loto_hot,HOT_T02,S4_random_uniform,CLQR,42,10861,0.21517355740070343,0.0739087462425232,0.048405904322862625,34.5,2026-08-05T05:13:26.175728+00:00
loto_hot,HOT_T02,S4_random_uniform,CLQR,123,10861,0.21517355740070343,0.07343526929616928,0.047610457986593246,40.5,2026-08-05T05:14:06.825594+00:00
loto_hot,HOT_T03,S1_fixed_50pct,B0_persistence,fixed,12417,0.29781749844551086,0.16847894619917816,0.10734784603118896,0.0,2026-08-05T05:14:08.911934+00:00
loto_hot,HOT_T03,S1_fixed_50pct,B4,42,12417,0.29781749844551086,0.1318126618862152,0.05924959480762482,76.8,2026-08-05T05:15:25.953591+00:00
loto_hot,HOT_T03,S1_fixed_50pct,B4,123,12417,0.29781749844551086,0.13162273168563843,0.059420306235551834,65.0,2026-08-05T05:16:31.132760+00:00
loto_hot,HOT_T03,S1_fixed_50pct,B6,42,12417,0.29781749844551086,0.06605292111635208,0.048894528299570084,67.2,2026-08-05T05:17:38.461227+00:00
loto_hot,HOT_T03,S1_fixed_50pct,B6,123,12417,0.29781749844551086,0.06597022712230682,0.05045733228325844,65.3,2026-08-05T05:18:43.887000+00:00
loto_hot,HOT_T03,S1_fixed_50pct,CLQR,42,12417,0.29781749844551086,0.07490827888250351,0.04608197510242462,43.2,2026-08-05T05:19:27.212763+00:00
loto_hot,HOT_T03,S1_fixed_50pct,CLQR,123,12417,0.29781749844551086,0.0761319100856781,0.04608369618654251,62.0,2026-08-05T05:20:29.403750+00:00
loto_hot,HOT_T03,S4_random_uniform,B0_persistence,fixed,12417,0.2537649869918823,0.15386777265472737,0.10245665907859802,0.0,2026-08-05T05:20:31.230823+00:00
loto_hot,HOT_T03,S4_random_uniform,B4,42,12417,0.2537649869918823,0.10942352563142776,0.05596860125660896,76.1,2026-08-05T05:21:47.483933+00:00
loto_hot,HOT_T03,S4_random_uniform,B4,123,12417,0.2537649869918823,0.11069109290838242,0.05655153468251228,76.6,2026-08-05T05:23:04.245181+00:00
loto_hot,HOT_T03,S4_random_uniform,B6,42,12417,0.2537649869918823,0.06573709845542908,0.049328502267599106,82.3,2026-08-05T05:24:26.687046+00:00
loto_hot,HOT_T03,S4_random_uniform,B6,123,12417,0.2537649869918823,0.06594851613044739,0.04974637180566788,69.5,2026-08-05T05:25:36.359390+00:00
